match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406139109,6234338341,True,1698599609,839,4361.0,4.0,7,22,81,6,272,"[71, 45, 87, 12, 99]","[23, 137, 53, 37, 54]",3,2,2,2,3,0,4,2,1,3,4,3,2,3,0,2,1,2
7406127904,6234337415,True,1698599168,1201,4586.0,2.0,7,22,81,5,182,"[104, 72, 92, 14, 48]","[42, 7, 36, 121, 138]",3,4,3,0,2,0,5,2,1,3,5,2,1,2,0,4,0,3
7406124902,6234336785,True,1698599053,1276,5288.0,2.0,7,22,81,2,272,"[67, 2, 84, 102, 56]","[96, 83, 42, 63, 50]",4,2,4,2,2,0,1,1,2,2,4,3,3,3,0,2,0,3
7406119910,6234324723,False,1698598858,1058,5000.0,1.0,7,22,74,3,273,"[35, 119, 121, 104, 42]","[103, 63, 80, 71, 110]",3,4,2,2,2,0,4,0,3,3,3,3,3,3,0,2,1,1
7406117516,6234339523,False,1698598773,1598,3687.0,2.0,7,22,81,6,273,"[44, 53, 62, 97, 136]","[19, 41, 121, 71, 68]",3,2,0,5,2,0,3,1,1,3,5,3,3,3,0,3,1,2
7406111717,6234336853,True,1698598562,1692,5468.0,2.0,7,22,81,5,182,"[42, 137, 64, 63, 81]","[78, 45, 46, 121, 4]",3,4,3,1,3,0,1,2,2,3,3,1,2,2,0,4,1,1
7406108418,6234333764,True,1698598432,1828,,,7,22,81,3,184,"[53, 70, 101, 23, 106]","[2, 68, 21, 10, 107]",4,4,2,2,2,0,4,1,2,3,5,3,3,2,0,4,0,2
7406108104,6234325466,False,1698598387,1526,3548.0,2.0,0,4,72,4,381,"[31, 30, 39, 19, 62]","[41, 71, 104, 126, 75]",2,2,1,2,1,0,5,1,2,5,5,3,3,4,0,3,0,1
7406107712,6234323541,True,1698598413,1327,5795.0,1.0,7,22,81,5,122,"[81, 59, 27, 83, 89]","[18, 114, 57, 85, 100]",3,4,3,2,5,0,1,3,3,2,4,3,1,3,0,4,0,2
7406106219,6234342431,False,1698598359,2197,4162.0,2.0,7,22,71,4,152,"[14, 34, 67, 71, 45]","[54, 121, 31, 56, 42]",3,2,3,2,2,0,3,2,0,3,3,2,3,1,0,2,1,3
7406104005,6234339834,False,1698598244,2266,2820.0,2.0,7,22,74,5,185,"[48, 86, 13, 2, 53]","[50, 76, 70, 68, 26]",3,3,1,2,2,0,4,2,1,2,5,1,0,1,0,4,0,3
7406103810,6234342168,False,1698598268,2397,4492.0,3.0,7,22,81,6,273,"[63, 83, 23, 14, 76]","[99, 50, 56, 42, 138]",3,4,3,2,3,0,3,0,2,4,3,2,1,2,0,3,1,2
7406102614,6234323537,True,1698598223,1619,4475.0,2.0,7,22,72,4,182,"[10, 121, 57, 74, 7]","[63, 100, 102, 36, 11]",2,4,2,3,1,0,5,1,3,4,2,2,1,1,0,3,0,1
7406102001,6234330274,True,1698598204,1922,2856.0,3.0,7,22,81,6,153,"[83, 14, 119, 76, 18]","[96, 68, 67, 46, 69]",2,5,3,2,3,0,4,0,2,3,3,3,3,2,0,3,0,1
7406100801,6234323054,True,1698598159,1691,2588.0,2.0,7,22,73,2,381,"[14, 62, 81, 5, 7]","[71, 83, 93, 21, 123]",1,4,2,1,3,0,4,1,2,3,5,2,5,2,0,3,0,3
7406099907,6234330142,False,1698598129,1983,3542.0,2.0,7,22,71,8,272,"[75, 11, 42, 53, 66]","[45, 108, 72, 138, 111]",4,2,1,1,2,0,3,2,3,2,4,1,2,0,0,5,1,2
7406098719,6234339223,True,1698598083,2435,4762.0,2.0,7,22,71,5,184,"[81, 107, 121, 41, 5]","[99, 135, 63, 23, 14]",2,5,3,3,3,0,3,1,2,4,2,4,1,3,0,3,0,1
7406098514,6234327693,False,1698598077,1882,2521.0,1.0,7,22,81,4,271,"[44, 22, 121, 68, 71]","[14, 25, 46, 79, 110]",3,3,1,3,1,0,3,0,2,2,4,1,2,3,0,4,0,3
7406097918,6234318376,True,1698598047,1590,3987.0,3.0,7,22,73,7,152,"[50, 81, 60, 120, 30]","[76, 38, 67, 138, 87]",3,5,3,1,3,0,4,1,2,3,4,2,1,2,0,4,0,1
7406096802,6234331650,False,1698598018,2158,4665.0,1.0,7,22,81,2,183,"[95, 110, 34, 37, 97]","[23, 135, 76, 81, 30]",2,4,1,2,3,0,3,2,2,4,4,3,0,2,0,3,1,2
7406096508,6234327197,True,1698598003,1957,4865.0,1.0,7,22,81,7,184,"[80, 46, 14, 107, 128]","[10, 5, 68, 81, 28]",2,3,3,3,2,0,3,1,1,3,5,3,2,2,0,3,1,2
7406094613,6234321332,False,1698597918,1764,4724.0,2.0,7,22,71,5,181,"[81, 44, 75, 34, 86]","[83, 97, 121, 29, 4]",4,3,1,1,2,0,3,2,2,2,5,2,3,4,0,4,0,2
7406094501,6234325548,False,1698597932,2011,3867.0,2.0,7,22,73,8,181,"[82, 81, 55, 14, 83]","[26, 54, 28, 121, 90]",2,5,3,3,5,0,2,2,1,2,5,2,3,2,0,3,0,3
7406094318,6234341824,True,1698597932,2690,3993.0,5.0,7,22,71,7,181,"[129, 102, 73, 21, 48]","[8, 123, 76, 71, 45]",5,3,3,1,2,0,3,1,3,3,3,1,3,1,0,3,2,1
7406094215,6234337359,True,1698597917,2523,3981.0,3.0,7,22,71,5,183,"[10, 36, 31, 42, 35]","[100, 110, 67, 14, 66]",4,3,3,1,1,0,4,0,2,1,3,2,2,3,0,3,1,2
7406092912,6234330017,False,1698597868,2205,2482.0,2.0,7,22,72,5,251,"[2, 83, 8, 120, 121]","[100, 81, 67, 14, 59]",3,4,3,4,3,0,2,1,2,3,3,4,1,4,0,2,1,0
7406092400,6234335230,True,1698597858,2487,3896.0,2.0,7,22,72,6,151,"[126, 63, 5, 97, 30]","[71, 36, 70, 26, 86]",2,4,0,3,1,0,4,0,2,3,5,3,1,2,0,3,0,2
7406092205,6234318058,True,1698597858,1784,5113.0,1.0,7,22,72,3,152,"[126, 2, 37, 40, 10]","[1, 22, 71, 97, 99]",3,5,2,2,3,0,3,1,2,4,2,2,3,3,0,4,0,0
7406091301,6234326565,False,1698597809,2144,4505.0,1.0,7,22,81,3,274,"[32, 46, 25, 99, 126]","[88, 55, 59, 20, 6]",5,3,1,3,1,0,3,0,1,2,4,1,3,4,0,2,1,1
7406090002,6234305612,False,1698597774,1366,2382.0,1.0,7,22,81,2,274,"[71, 135, 48, 23, 83]","[63, 75, 14, 138, 74]",4,3,4,2,3,0,2,1,2,4,4,1,2,2,0,4,1,1
7406088814,6234328959,True,1698597734,2323,4005.0,5.0,7,22,73,8,181,"[136, 18, 9, 104, 126]","[75, 74, 83, 14, 4]",5,5,2,3,3,0,4,0,2,3,5,2,2,4,0,4,1,2
7406088611,6234333622,False,1698597733,2541,,,7,22,71,3,151,"[86, 10, 85, 135, 76]","[9, 11, 23, 57, 37]",3,4,3,1,0,0,4,0,2,3,3,2,1,2,0,4,0,4
7406087617,6234333555,True,1698597699,2510,4163.0,5.0,7,22,71,7,192,"[138, 31, 30, 7, 23]","[42, 14, 36, 25, 72]",2,4,1,0,2,0,5,0,4,4,5,3,0,2,0,4,0,2
7406087614,6234327965,False,1698597699,2266,3280.0,1.0,7,22,73,6,182,"[88, 114, 21, 74, 138]","[2, 49, 20, 46, 107]",4,5,0,4,2,0,4,1,1,3,4,3,3,4,0,3,1,1
