match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406123914,6234329535,False,1698599008,1019,,,0,22,41,3,121,"[89, 96, 75, 14, 86]","[39, 36, 48, 102, 45]",2,5,2,2,4,0,4,1,3,4,1,2,1,0,0,4,2,1
7406117412,6234328456,True,1698598738,1287,3699.0,1.0,7,22,54,5,347,"[80, 22, 100, 35, 86]","[138, 121, 13, 11, 26]",3,2,1,0,1,0,4,1,1,2,4,0,2,2,0,5,0,2
7406117208,6234326197,False,1698598763,1234,4441.0,2.0,0,4,44,8,236,"[1, 11, 28, 5, 129]","[57, 62, 89, 17, 27]",4,3,2,2,2,0,3,0,1,2,3,1,3,3,0,4,2,3
7406116303,6234314135,False,1698598717,694,3041.0,3.0,7,22,44,7,227,"[99, 92, 119, 42, 68]","[138, 23, 53, 58, 100]",2,4,3,1,2,0,4,1,4,3,4,2,1,2,0,4,2,2
7406115905,6234330825,False,1698598687,1477,3361.0,3.0,7,22,41,3,152,"[14, 67, 64, 75, 119]","[60, 41, 36, 105, 45]",2,4,2,2,2,0,4,1,3,3,4,3,1,2,0,4,1,0
7406115003,6234333080,True,1698598679,1579,3168.0,3.0,7,22,61,5,185,"[137, 3, 81, 100, 42]","[14, 86, 74, 83, 48]",2,5,4,0,4,0,2,1,2,2,4,2,2,2,0,4,2,2
7406114813,6234330986,False,1698598677,1441,3211.0,4.0,7,22,43,7,191,"[76, 56, 28, 44, 110]","[62, 80, 121, 35, 104]",4,3,1,4,2,0,2,1,1,3,2,2,2,1,0,4,1,1
7406114807,6234329227,False,1698598674,1444,3549.0,2.0,0,4,53,6,183,"[137, 5, 25, 109, 100]","[72, 8, 81, 23, 114]",2,4,1,0,2,0,4,1,2,5,4,2,2,3,0,2,2,1
7406114616,6234326650,False,1698598669,1298,,,7,22,51,5,185,"[14, 63, 42, 88, 85]","[54, 84, 136, 80, 2]",2,4,3,2,3,0,3,0,2,4,4,4,2,3,0,1,1,2
7406114211,6234331664,True,1698598642,1550,1982.0,1.0,7,22,61,3,273,"[104, 83, 121, 35, 138]","[71, 39, 90, 42, 128]",3,4,2,2,2,0,4,0,2,3,4,2,3,2,0,3,0,3
7406113710,6234325618,True,1698598633,1268,1732.0,1.0,7,22,51,3,154,"[11, 88, 26, 63, 35]","[16, 8, 17, 93, 104]",3,2,0,2,2,0,4,0,1,4,4,1,4,3,0,4,1,1
