match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406101614,6234316583,False,1698598162,1379,3269.0,1.0,0,4,34,3,251,"[110, 86, 88, 1, 41]","[85, 46, 137, 19, 64]",2,4,1,4,3,0,4,0,2,2,4,3,1,2,0,3,2,2
7406098610,6234311356,False,1698598082,1246,,,7,22,33,7,185,"[121, 63, 113, 104, 86]","[71, 80, 58, 70, 14]",3,3,1,3,1,0,4,0,2,3,4,5,1,2,0,1,2,1
7406098006,6234313500,True,1698598062,1376,,,0,22,21,2,191,"[42, 107, 17, 35, 44]","[3, 15, 5, 51, 8]",4,3,2,3,3,0,3,0,1,2,3,3,1,1,0,4,2,2
7406098001,6234313474,True,1698598058,1309,,,0,22,33,4,192,"[10, 29, 31, 1, 138]","[135, 21, 44, 68, 47]",4,3,2,2,1,0,5,0,1,4,3,2,2,1,0,2,0,2
7406097802,6234316358,True,1698598054,1512,,,7,22,22,3,182,"[81, 27, 1, 5, 59]","[36, 62, 48, 85, 91]",3,3,2,1,3,0,3,2,2,2,2,2,2,0,0,5,1,2
7406094818,6234316210,False,1698597947,1605,3681.0,2.0,7,22,31,4,181,"[62, 111, 11, 42, 54]","[91, 22, 1, 76, 32]",3,3,2,3,1,0,3,0,2,4,2,0,3,0,0,4,0,1
7406094214,6234313913,False,1698597923,1542,,,7,22,33,2,153,"[97, 119, 86, 67, 8]","[84, 1, 38, 62, 45]",2,3,1,4,1,0,3,1,2,1,2,2,2,2,0,5,1,1
7406092005,6234314096,False,1698597842,1611,,,7,22,35,4,183,"[100, 23, 97, 105, 48]","[25, 5, 29, 8, 28]",2,4,1,1,3,0,5,1,1,4,4,2,2,2,0,3,1,2
7406090417,6234309616,True,1698597789,1488,2042.0,1.0,7,22,13,5,185,"[110, 62, 138, 26, 126]","[12, 2, 76, 49, 71]",2,4,0,3,2,0,5,0,2,5,4,3,2,3,0,3,2,0
7406090015,6234309531,True,1698597783,1479,,,7,22,32,2,144,"[58, 42, 6, 71, 56]","[75, 83, 26, 8, 7]",4,4,3,2,2,0,0,3,2,2,4,1,2,4,0,3,1,4
7406089604,6234312826,True,1698597767,1688,,,0,4,24,3,271,"[50, 5, 81, 8, 34]","[83, 101, 82, 104, 4]",3,3,1,1,1,0,3,3,2,3,5,2,2,4,0,4,1,2
7406089012,6234309851,True,1698597743,1566,1219.0,1.0,0,22,21,2,185,"[1, 8, 35, 26, 120]","[121, 7, 44, 71, 105]",4,2,1,3,2,0,4,1,1,2,4,1,3,2,0,3,0,2
7406088506,6234297251,False,1698597729,1075,1948.0,2.0,0,22,33,4,181,"[52, 81, 64, 91, 10]","[30, 21, 35, 41, 14]",3,4,2,2,1,0,4,3,3,3,4,2,2,2,0,4,0,2
7406088413,6234316387,True,1698597727,1847,,,7,22,22,2,184,"[81, 11, 27, 138, 67]","[5, 36, 104, 14, 8]",4,3,2,1,2,0,3,2,1,3,4,3,1,2,0,4,1,1
7406088408,6234315203,False,1698597723,1781,,,7,22,33,4,121,"[47, 75, 54, 50, 29]","[39, 14, 76, 70, 36]",4,5,3,1,3,0,3,0,2,4,4,3,1,1,0,4,0,0
7406087205,6234314147,True,1698597678,1796,2247.0,2.0,7,22,31,4,122,"[44, 2, 85, 22, 75]","[5, 67, 42, 57, 71]",4,3,2,1,2,0,3,0,2,3,3,4,2,2,0,2,0,3
7406086613,6234314718,False,1698597662,1798,,,7,22,21,4,145,"[26, 74, 2, 40, 48]","[69, 106, 32, 80, 84]",3,4,1,1,3,0,4,3,2,4,4,3,2,3,0,3,1,1
7406086011,6234310796,True,1698597642,1714,,,7,22,24,3,274,"[53, 54, 44, 61, 33]","[101, 121, 41, 92, 48]",4,2,1,4,1,0,2,3,0,2,4,2,2,1,0,4,2,3
7406085619,6234300736,True,1698597628,1322,2677.0,1.0,7,22,34,2,181,"[35, 89, 22, 7, 113]","[33, 18, 71, 83, 121]",4,2,0,2,2,0,4,1,2,2,5,3,3,4,0,2,1,2
7406085506,6234311032,True,1698597618,1722,2278.0,2.0,7,22,31,4,152,"[41, 86, 14, 32, 71]","[35, 47, 12, 37, 20]",3,5,3,3,3,0,2,0,1,3,3,1,2,3,0,3,1,2
7406085215,6234314959,True,1698597608,1924,,,0,4,32,3,192,"[12, 71, 128, 6, 68]","[101, 113, 75, 14, 87]",3,4,1,3,1,0,3,2,2,2,4,1,1,3,0,5,0,3
7406085201,6234307464,True,1698597612,1569,1305.0,1.0,7,22,32,3,191,"[5, 138, 36, 75, 98]","[44, 50, 82, 101, 2]",3,4,2,1,1,0,5,0,2,3,4,1,2,2,0,3,1,2
7406085200,6234316055,True,1698597613,1910,,,7,22,22,3,181,"[96, 39, 81, 50, 68]","[32, 4, 84, 41, 104]",2,4,2,2,2,0,4,1,2,4,5,3,2,4,0,3,0,1
7406084903,6234314194,False,1698597607,1888,,,7,22,23,3,182,"[84, 71, 54, 10, 74]","[14, 88, 27, 81, 80]",4,5,4,4,2,0,3,1,1,2,4,3,1,4,0,3,3,1
7406084412,6234315877,False,1698597587,1935,,,7,22,32,2,152,"[135, 9, 70, 55, 64]","[37, 30, 35, 12, 63]",3,4,2,2,1,0,2,1,2,3,2,0,2,1,0,3,1,2
7406084312,6234313300,False,1698597578,1845,2267.0,1.0,7,22,31,4,185,"[76, 53, 36, 110, 113]","[30, 104, 89, 50, 10]",4,3,1,3,1,0,5,1,1,3,5,2,2,2,0,4,1,3
7406084108,6234306252,True,1698597564,1588,2004.0,1.0,7,22,34,3,381,"[10, 26, 74, 7, 76]","[87, 63, 71, 8, 42]",3,5,1,2,2,0,5,1,2,4,3,2,3,3,0,1,1,2
7406084018,6234306978,False,1698597572,1611,,,7,22,31,4,183,"[31, 70, 105, 97, 16]","[46, 67, 63, 75, 42]",1,4,1,2,2,0,4,0,2,5,2,2,3,2,0,1,0,2
7406083717,6234316753,True,1698597563,1996,,,0,22,33,3,182,"[30, 75, 8, 5, 28]","[34, 2, 10, 50, 31]",3,4,1,2,2,0,3,1,3,3,3,2,1,1,0,4,1,2
7406083615,6234312655,True,1698597558,1860,,,7,22,31,3,185,"[22, 10, 84, 96, 11]","[1, 119, 110, 99, 123]",3,3,3,2,2,0,5,0,1,2,3,1,4,2,0,5,0,3
7406083614,6234305433,False,1698597558,1555,,,7,22,32,2,381,"[44, 2, 14, 71, 25]","[98, 86, 31, 67, 59]",4,4,3,2,3,0,2,0,1,2,1,3,2,1,0,3,0,2
7406083603,6234315882,True,1698597552,1988,,,7,22,25,4,184,"[35, 121, 43, 12, 30]","[87, 34, 45, 44, 62]",3,3,0,2,0,0,5,2,2,2,1,0,2,1,0,4,2,1
7406083413,6234307361,False,1698597549,1668,3270.0,1.0,7,22,31,6,182,"[120, 35, 99, 18, 22]","[81, 36, 49, 71, 47]",5,2,3,1,3,0,5,0,0,5,5,5,1,4,0,2,2,0
7406083302,6234310443,False,1698597549,1783,,,7,22,32,2,192,"[33, 53, 54, 51, 34]","[2, 22, 89, 86, 82]",3,3,2,2,2,0,3,3,0,4,4,1,2,3,0,3,2,2
7406082719,6234313561,False,1698597528,1904,,,0,22,34,2,191,"[60, 30, 106, 26, 2]","[101, 47, 97, 88, 71]",3,5,2,1,4,0,4,0,2,2,5,2,3,4,0,3,0,1
7406081919,6234303172,False,1698597497,1559,762.0,1.0,0,4,14,2,271,"[76, 6, 60, 49, 95]","[58, 10, 45, 36, 73]",5,5,3,0,2,0,3,3,0,3,4,4,1,1,0,4,2,2
7406081401,6234316051,False,1698597483,2069,2175.0,1.0,7,22,35,5,346,"[70, 21, 64, 50, 11]","[84, 128, 30, 71, 8]",3,4,1,1,0,0,4,1,3,2,4,2,3,2,0,3,1,3
7406081315,6234311819,False,1698597463,1914,1.0,1.0,7,22,34,4,184,"[6, 20, 14, 99, 101]","[83, 2, 114, 31, 1]",2,4,2,1,3,0,4,1,2,3,3,2,3,3,0,2,0,2
